Tier,Rank,Champion Name,Lane,Win Rate,Pick Rate,Ban Rate,Play Count
Platinum,114,소라카,서폿,50.45%,2.83%,0.31%,"59,335"
Platinum,115,소나,서폿,50.71%,1.38%,0.07%,"28,820"
Platinum,116,벨코즈,미드,51.39%,0.52%,0.44%,"10,928"
Platinum,117,다이애나,미드,50.16%,2.17%,2.09%,"45,462"
Platinum,118,카시오페아,탑,50.67%,1.54%,10.01%,"32,307"
Platinum,119,볼리베어,정글,50.49%,2.05%,4.04%,"42,949"
Platinum,120,다리우스,정글,50.60%,1.30%,24.71%,"27,167"
Platinum,121,알리스타,서폿,49.98%,4.27%,1.40%,"89,436"
Platinum,122,에코,미드,50.32%,1.59%,0.60%,"33,399"
Platinum,123,밀리오,서폿,50.81%,1.66%,0.24%,"34,687"
Platinum,124,렉사이,정글,50.80%,0.78%,0.53%,"16,353"
Platinum,125,세나,서폿,50.36%,3.57%,0.73%,"74,834"
Platinum,126,나서스,탑,49.91%,2.98%,2.82%,"62,444"
Platinum,127,누누와 윌럼프,정글,50.22%,2.49%,0.74%,"52,062"
Platinum,128,탐 켄치,서폿,50.39%,2.75%,2.27%,"57,507"
Platinum,129,스웨인,미드,50.56%,1.42%,2.77%,"29,801"
Platinum,130,아우렐리온 솔,미드,50.62%,1.35%,0.26%,"28,353"
Platinum,131,뽀삐,탑,50.92%,1.38%,5.75%,"28,983"
Platinum,132,케이틀린,바텀,49.27%,21.68%,14.59%,"453,946"
Platinum,133,니코,미드,50.21%,0.98%,2.67%,"20,617"
Platinum,134,케넨,탑,50.23%,1.91%,1.26%,"40,024"
Platinum,135,코그모,바텀,51.43%,1.23%,0.67%,"25,757"
Platinum,136,노틸러스,서폿,49.26%,8.86%,12.90%,"185,479"
Platinum,137,엘리스,서폿,50.20%,2.88%,5.96%,"60,352"
Platinum,138,베인,탑,51.01%,1.80%,2.84%,"37,643"
Platinum,139,카사딘,미드,50.38%,1.04%,0.21%,"21,817"
Platinum,140,그웬,정글,50.42%,0.67%,1.27%,"14,029"
Platinum,141,르블랑,서폿,50.74%,1.36%,30.56%,"28,502"
Platinum,142,오공,탑,50.94%,0.94%,3.84%,"19,769"
Platinum,143,아칼리,탑,49.93%,1.94%,10.85%,"40,709"
Platinum,144,아크샨,미드,49.91%,1.15%,0.55%,"24,084"
Platinum,145,판테온,정글,49.98%,1.81%,1.37%,"37,995"
Platinum,146,카시오페아,바텀,51.39%,0.59%,10.01%,"12,374"
Platinum,147,탐 켄치,탑,50.06%,2.03%,2.27%,"42,595"
