티어,닉네임,주챔피언,게임횟수,승률,포지션,포지션게임횟수
platinum,초현식근동이물 #KR1,제드,17 게임,41 %,미드,27
platinum,매우라 #5838,아크샨,5 게임,80 %,미드,6
platinum,Dancin #kr2,이즈리얼,4 게임,75 %,원딜,7
platinum,Namy000n #5111,제드,10 게임,80 %,미드,10
platinum,Fly over you #wing,빅토르,6 게임,67 %,원딜,17
platinum,응우엔 #땅 굴,세트,113 게임,59 %,탑,120
platinum,스물다섯번째밤 #8152,라이즈,19 게임,79 %,미드,26
platinum,군포 최고 도구 #KR1,파이크,3 게임,67 %,서폿,9
platinum,광주교도소 살인미수 7년복역 #KR1,하이머딩거,17 게임,59 %,탑,65
platinum,박단순 #KR1,그웬,5 게임,80 %,탑,7
platinum,鏡花水月 #白 豹,소라카,287 게임,49 %,서폿,290
platinum,qweasdzxcqweas #kr11,피오라,61 게임,69 %,탑,128
platinum,징 푸 #KR1,제드,12 게임,75 %,미드,19
platinum,Jun #zio,조이,14 게임,71 %,미드,21
platinum,더미친놈 #019,갈리오,1 게임,100 %,미드,9
platinum,멍창희 #KR1,카르마,9 게임,78 %,서폿,20
platinum,adgsdg #KR1,신 짜오,3 게임,67 %,탑,11
platinum,뱍치기굥룡 #777,리 신,11 게임,64 %,정글,32
platinum,선자불래 내자불선 #kr0,우르곳,1 게임,100 %,서폿,4
platinum,황색비둘기 #KR1,징크스,4 게임,100 %,원딜,7
platinum,Viper #asdkq,이즈리얼,5 게임,40 %,원딜,19
platinum,제우스 #전기공학과,요네,22 게임,32 %,정글,53
platinum,디 유 #지 유,룰루,5 게임,80 %,서폿,8
platinum,나데리고지면니탓 #KR1,카서스,1 게임,100 %,정글,5
platinum,내머리는 누가딸래 #429,에코,9 게임,56 %,미드,13
platinum,Blue #KR7,이즈리얼,5 게임,80 %,정글,12
platinum,박지훈 #박지훈,파이크,37 게임,49 %,서폿,44
platinum,sippin lean #KR1,미스 포츈,5 게임,20 %,원딜,17
platinum,P o t a t o #감자국요정,쓰레쉬,39 게임,46 %,서폿,111
platinum,동둥이최고 #0926,렐,8 게임,38 %,서폿,30
platinum,정글차나면대충함 #KR1,이렐리아,1 게임,0 %,미드,5
platinum,미워도 다시 한번 #KR02,리 신,19 게임,68 %,미드,45
platinum,근태식 #T1WIN,아리,17 게임,53 %,미드,33
platinum,항상화난다 #KR1,카타리나,9 게임,67 %,미드,9
platinum,수 아 #625,이즈리얼,2 게임,100 %,원딜,3
platinum,난 최선을 다했어 #123,리 신,3 게임,67 %,정글,5
platinum,바텀뽑기게임 #실패는패배,르블랑,6 게임,67 %,미드,11
platinum,뼈다구가렌 #KR1,제드,9 게임,56 %,원딜,30
platinum,흑돼지 #KR000,탈리야,8 게임,50 %,정글,8
platinum,침대청소부 #KR1,쓰레쉬,11 게임,27 %,서폿,49
platinum,언제나즐겜하자 #KR11,녹턴,30 게임,70 %,정글,32
platinum,라 만 #KR1,징크스,2 게임,100 %,원딜,5
platinum,LGnS1WFbey #KR1,르블랑,4 게임,100 %,미드,8
platinum,Rahee #KR1,니달리,6 게임,33 %,정글,18
platinum,오지환 #1111,이렐리아,4 게임,50 %,탑,7
platinum,물 어 #누렁아,자이라,2 게임,100 %,서폿,9
platinum,부드러운치즈 #8931,이즈리얼,5 게임,80 %,원딜,28
platinum,질량 X 가속도 #KR1,빅토르,3 게임,100 %,미드,6
platinum,코푸는푸 #KR1,리 신,38 게임,55 %,정글,60
platinum,내가진리이당 #KR1,자이라,2 게임,50 %,서폿,9
platinum,악성버니즈 #NJS,이즈리얼,5 게임,80 %,원딜,9
platinum,배민우 #팔척귀신,엘리스,5 게임,80 %,탑,8
platinum,지기는 정글링 #KR1,아리,8 게임,63 %,미드,21
platinum,고강동피바라기 #KR1,자이라,51 게임,57 %,서폿,74
platinum,OTL XD #0001,사일러스,6 게임,67 %,미드,18
platinum,노순이달린다 #KR1,멜,10 게임,40 %,서폿,110
platinum,허서은1 #KR1,자크,25 게임,76 %,탑,14
platinum,빙 수 #0710,비에고,3 게임,100 %,정글,7
platinum,행복이란무엇일카 #KR1,이즈리얼,21 게임,57 %,원딜,39
platinum,제로콜라설탕추가 #KR1,티모,6 게임,50 %,서폿,28
platinum,한입만줘라 #0701,릴리아,33 게임,64 %,정글,103
platinum,매끈한 엄영돈 #KR1,진,7 게임,57 %,원딜,9
platinum,산타는사실있거든 #KR1,갱플랭크,2 게임,100 %,탑,4
platinum,Koooo #KR1,제이스,3 게임,33 %,정글,5
platinum,한남 박준하 #KR1,오로라,2 게임,50 %,미드,9
platinum,정 글 #KR570,니달리,5 게임,80 %,정글,5
platinum,진 출 #KR1,헤카림,8 게임,50 %,정글,8
platinum,테런악신 #KR1,리 신,10 게임,60 %,정글,35
platinum,김동범 #1016,신 짜오,2 게임,100 %,정글,7
platinum,바텀이답이다 #KR1,탐 켄치,3 게임,67 %,서폿,7
platinum,행복한 상현이 #KR1,갈리오,2 게임,100 %,미드,8
platinum,꾸르끽 #KR1,미스 포츈,3 게임,67 %,원딜,6
platinum,김몰락 #8521,징크스,2 게임,100 %,원딜,4
platinum,너도냐나도다 #KR1,키아나,21 게임,62 %,미드,18
platinum,Erelli #KR1,이렐리아,36 게임,50 %,탑,32
platinum,천호동바위게 #qwer,리 신,33 게임,52 %,정글,57
platinum,칠색조 #하트골드,알리스타,1 게임,0 %,서폿,8
platinum,나무같은인생 #KR1,이즈리얼,8 게임,63 %,원딜,21
platinum,맹이얌 #KR1,스카너,12 게임,75 %,정글,24
platinum,SSolkill #KR1,이렐리아,2 게임,50 %,탑,7
platinum,가알까마알까 #KR1,노틸러스,2 게임,100 %,서폿,8
platinum,마라 민초 솔의눈 #KR1,멜,4 게임,75 %,미드,13
platinum,Blue #KR727,케이틀린,2 게임,100 %,원딜,9
platinum,할 순 #KR1,엘리스,4 게임,50 %,서폿,12
platinum,십팔새 #KR1,제이스,20 게임,45 %,탑,57
platinum,GOAT #KR5,녹턴,2 게임,0 %,정글,9
platinum,슨 엠 #KR1,룰루,3 게임,33 %,서폿,9
platinum,사미라 #KR40,이즈리얼,2 게임,50 %,원딜,7
platinum,노 아 #세미나,조이,8 게임,63 %,미드,9
platinum,Retro #00255,제이스,7 게임,71 %,탑,14
platinum,같은하늘아래 #KR2,미스 포츈,1 게임,100 %,원딜,6
platinum,끼정이 #KR1,야스오,6 게임,100 %,미드,8
platinum,좀이따알려줄게 #KR1,카르마,2 게임,100 %,서폿,8
platinum,인 교 #KR1,바루스,13 게임,62 %,탑,17
platinum,오빠 나 너무 급해 #KR02,니달리,2 게임,100 %,정글,5
platinum,맨드릴개코원숭이 #KR1,스웨인,58 게임,59 %,서폿,70
platinum,윙꾸방구 #KR1,녹턴,3 게임,67 %,정글,4
platinum,패시브 #KR1,마오카이,33 게임,48 %,탑,36
platinum,팥붕슈붕 #KR1,킨드레드,7 게임,100 %,정글,38
platinum,ZeDA #KR1,녹턴,8 게임,38 %,정글,9
platinum,dmstp7270 #KR1,리 신,8 게임,75 %,탑,61
platinum,마짬찌 #KR1,아트록스,4 게임,75 %,탑,8
platinum,쏭카페 #1194,비에고,3 게임,67 %,정글,11
platinum,Jack Sparrow #해 적,갱플랭크,16 게임,50 %,탑,16
platinum,백춘삼 #1104,이즈리얼,6 게임,67 %,원딜,28
platinum,모닝빵내놔 #1124,진,9 게임,67 %,원딜,9
platinum,깅돗개 #kr4,빅토르,21 게임,76 %,미드,75
platinum,김선아 #증산미시,리 신,2 게임,100 %,정글,9
platinum,육개장맛시럽 #문77,헤카림,20 게임,65 %,정글,28
platinum,배봉초 득점왕 진하민 #Jin10,리 신,58 게임,60 %,정글,90
platinum,해내는자 #KR1,이즈리얼,30 게임,50 %,원딜,97
platinum,교향곡 9번 #베토벤,카직스,197 게임,55 %,정글,199
platinum,흑풍참 #KR1,카밀,7 게임,29 %,탑,22
platinum,여 우 #125,사일러스,8 게임,75 %,미드,14
platinum,99강화전면삼각근 #KR1,야스오,18 게임,72 %,미드,27
platinum,원 딜 #2861,이즈리얼,23 게임,57 %,원딜,56
platinum,원타이타이 #KR1,샤코,18 게임,61 %,서폿,78
platinum,안상구 #손장애,제이스,16 게임,75 %,미드,29
platinum,지존짱지훈 #KR1,카르마,43 게임,60 %,서폿,49
platinum,빈지리노 #지리네어,다리우스,6 게임,33 %,탑,33
platinum,rainbow001 #KR1,다리우스,4 게임,25 %,탑,14
platinum,Violet Mid #0926,리 신,32 게임,72 %,정글,86
platinum,국민탁시 #KR1,징크스,31 게임,58 %,원딜,57
platinum,그정도 #KR7,카이사,19 게임,53 %,원딜,43
platinum,moreTresured #KR1,이즈리얼,31 게임,52 %,원딜,83
platinum,맑음흐림비 #1234,케이틀린,7 게임,43 %,원딜,25
platinum,옳은말이맞긴한건가요 #궁금해서요,룰루,4 게임,75 %,원딜,5
platinum,이동주 #ldj,오공,6 게임,67 %,정글,11
platinum,인생을 소설처럼 #KR1,멜,14 게임,64 %,미드,52
platinum,혈압올리는중 #KR1,미스 포츈,12 게임,75 %,원딜,42
platinum,상체게임가자 #KR1,제이스,4 게임,25 %,탑,12
platinum,안사과 #KR1,쉬바나,8 게임,50 %,정글,25
platinum,후상박 #KR1,레넥톤,7 게임,43 %,탑,23
platinum,히로이 키쿠리 #KRl,사이온,25 게임,56 %,탑,46
platinum,이채혁 #KR1,이즈리얼,30 게임,57 %,원딜,78
platinum,150 #155,클레드,19 게임,58 %,미드,24
platinum,뽈롤롤롤 #ddd,비에고,19 게임,42 %,원딜,82
platinum,JackeyLove #KR04,이즈리얼,3 게임,100 %,원딜,6
platinum,동그라미썬 #0101,아무무,8 게임,63 %,정글,52
platinum,리지래로래로 #KR1,제라스,7 게임,71 %,서폿,19
platinum,그게 좀 #KR1,엘리스,4 게임,75 %,서폿,17
platinum,엄청난손플레이 #KR1,가렌,39 게임,64 %,탑,33
platinum,TRIKING #KR1,트리스타나,22 게임,55 %,원딜,22
platinum,단 아 #단아하다,비에고,17 게임,59 %,정글,92
platinum,김명운 #문희준,릴리아,33 게임,76 %,정글,140
platinum,你妈妈风度翩翩的人 #000,이즈리얼,25 게임,36 %,원딜,86
platinum,키아나피즈 #궁딸깍,빅토르,4 게임,50 %,미드,12
platinum,합리적으로 #KR1,멜,7 게임,100 %,미드,22
platinum,초코주세요 #KR1,이렐리아,5 게임,80 %,탑,24
platinum,인생은 정시 #KR1,벨코즈,38 게임,58 %,미드,43
platinum,밴달팬피그 #kor,요네,6 게임,50 %,미드,28
platinum,박자 맞추기 장인 #KR1,이즈리얼,12 게임,58 %,서폿,39
platinum,탑 차 이 #9999,볼리베어,95 게임,55 %,탑,100
platinum,끝나지않는여름우린죽어도사랑했다 #청 춘,요네,22 게임,41 %,원딜,86
platinum,kaIi #KR1,르블랑,2 게임,0 %,미드,9
platinum,ShyBoiTobi #KR1,리 신,20 게임,55 %,정글,40
platinum,순 보 #KR2,리 신,14 게임,50 %,정글,30
platinum,딸 기 #0720,이즈리얼,4 게임,100 %,원딜,17
platinum,혜연언니 #1004,유미,211 게임,55 %,서폿,250
platinum,제발이겨줘 #123,제드,54 게임,50 %,정글,89
platinum,BroFromOtherMom #KR1,탐 켄치,17 게임,47 %,서폿,20
platinum,닉네임is뭔들 #5153,니코,104 게임,57 %,서폿,94
platinum,멘탈상태 은두부 #KR1,블라디미르,42 게임,57 %,탑,105
platinum,mtmk #KR1,리 신,6 게임,17 %,정글,19
platinum,무하마드뽀삐 #KR1,카이사,5 게임,100 %,원딜,15
platinum,박적산 #KR1,비에고,21 게임,48 %,정글,43
platinum,유미와고양이들 #KR2,말파이트,13 게임,46 %,서폿,65
platinum,요건 정글차이 #KR1,샤코,14 게임,57 %,정글,20
platinum,김유연 #이쁘덩,제이스,3 게임,67 %,탑,6
platinum,소라카 힐링센터 #KR1,아펠리오스,24 게임,42 %,원딜,24
platinum,rlawnsgh #저지 불가,요네,10 게임,60 %,미드,55
platinum,노스테일 #KR1,시비르,45 게임,44 %,원딜,79
platinum,산드라 #KR1,자르반 4세,25 게임,48 %,정글,70
platinum,GIST #KR1,요네,27 게임,44 %,미드,67
platinum,구수함 #0722,케이틀린,6 게임,100 %,원딜,23
platinum,恋降る月夜に君想ふ #KR71,사일러스,10 게임,30 %,정글,46
platinum,무적성혁 #0523,에코,34 게임,65 %,미드,92
platinum,문코치 #KR1,스웨인,44 게임,55 %,서폿,70
platinum,prAy #38세,스몰더,101 게임,57 %,원딜,107
platinum,강승록 #칼리스타,갱플랭크,9 게임,56 %,탑,54
platinum,뗑귄이 #KR1,오리아나,14 게임,79 %,미드,25
platinum,교회에서만난스님 #KR1,멜,3 게임,67 %,미드,8
platinum,센슨모신 #KR1,유미,12 게임,75 %,서폿,14
platinum,avoid the rush #KR1,리 신,94 게임,49 %,정글,220
platinum,랍스터소울펀치 #lsp,블리츠크랭크,1 게임,0 %,서폿,5
platinum,교도의 길 #GYODO,아트록스,2 게임,50 %,탑,5
platinum,다시는가렌을하지않겠습니다진짜로 #사죄합니다,블라디미르,3 게임,67 %,탑,4
platinum,청 순 #KR3,라이즈,1 게임,100 %,미드,3
platinum,shiiouysh #9887,아리,23 게임,39 %,미드,83
platinum,사랑한다바보들아 #kr2,암베사,3 게임,67 %,탑,5
platinum,닌자 거북이 #666,레넥톤,1 게임,100 %,원딜,2
platinum,땅 콩 #작 콩,레오나,1 게임,100 %,서폿,5
platinum,탄산당근오이 #KR1,미스 포츈,1 게임,0 %,원딜,4
platinum,Page Up #000,코르키,2 게임,100 %,원딜,3
platinum,유 민 #1012,그웬,73 게임,47 %,탑,119
platinum,마산사는김영준 #KR1,블라디미르,1 게임,100 %,탑,4
platinum,너네가 뭘 알아 #뭘아냐고,카타리나,3 게임,67 %,미드,3
platinum,칙 칙 #1113,오공,1 게임,0 %,정글,3
platinum,나한테붙으라고 #정글서폿,비에고,3 게임,33 %,정글,4
platinum,ESFP #0523,자크,29 게임,55 %,정글,41
emerald,n bee #1998,오리아나,178 게임,56 %,미드,178
emerald,ColorLife #123,그레이브즈,9 게임,67 %,정글,19
emerald,RYAN #리안06,빅토르,23 게임,39 %,미드,71
emerald,스웨인의신스웨인의왕스웨인그자체 #모기맨,스웨인,20 게임,55 %,미드,19
emerald,의문의 귤까기고수 #KR2,리산드라,14 게임,86 %,미드,20
emerald,Joker #YG54,샤코,42 게임,64 %,서폿,55
emerald,magum #KR2,뽀삐,8 게임,63 %,서폿,46
emerald,off the grid #0412,이즈리얼,11 게임,73 %,원딜,32
emerald,주시윤 #KR1,제드,8 게임,50 %,미드,11
emerald,쥬얼가야금 #JeweL,쉔,27 게임,48 %,탑,20
emerald,GAME        BOOM #KR1,녹턴,39 게임,69 %,정글,96
emerald,SOS #1109,트리스타나,5 게임,80 %,원딜,5
emerald,Pantouflard #KR1,블리츠크랭크,8 게임,63 %,서폿,30
emerald,머리는차갑게맘은뜨겁게 #KR2,케이틀린,23 게임,57 %,원딜,83
emerald,Aoz MoMo #KR1,진,18 게임,44 %,원딜,24
emerald,Diaba #KR1,미스 포츈,4 게임,25 %,원딜,20
emerald,감자탕과소주 #KR1,케인,22 게임,50 %,정글,44
emerald,authenticity #진짜임,미스 포츈,11 게임,55 %,원딜,21
emerald,우리정글은도대체어디서뭐하는거야 #정글이밉다,암베사,7 게임,71 %,탑,26
emerald,부산지킴이 #KR1,이즈리얼,24 게임,54 %,원딜,47
emerald,SKT T1 Oner #KR5,트린다미어,15 게임,53 %,탑,25
emerald,현빈1 #KR1,다이애나,23 게임,52 %,미드,52
emerald,안평범 #KR1,럭스,7 게임,86 %,서폿,24
emerald,들배지기 #8796,애쉬,3 게임,67 %,원딜,18
emerald,부자인보노군 #KR1,흐웨이,32 게임,41 %,미드,73
emerald,낭만바라기 #KR1,리 신,11 게임,64 %,정글,21
emerald,나는문어꿈을꾸 #KR1,브라움,42 게임,60 %,정글,50
emerald,과 니 #gwan,엘리스,15 게임,53 %,서폿,56
emerald,공협지 #kr7,질리언,20 게임,80 %,서폿,38
emerald,우똑똑이 #KR1,파이크,34 게임,50 %,서폿,54
emerald,검사의수치 #111,케인,42 게임,71 %,탑,44
emerald,TES mingyun #KR1,리 신,3 게임,33 %,미드,10
emerald,후 신 #KR1,뽀삐,22 게임,64 %,탑,37
emerald,양학용부캐 #막아봐,리 신,28 게임,64 %,정글,79
emerald,junnjun #KR1,나르,10 게임,40 %,정글,15
emerald,뮤트올 성애자 #KR1,흐웨이,30 게임,53 %,미드,55
emerald,99366109del #KR1,그라가스,8 게임,50 %,탑,34
emerald,경서 뀨뀨 #KR1,이렐리아,6 게임,67 %,탑,51
emerald,PLAYLIST #0924,이즈리얼,9 게임,56 %,원딜,29
emerald,Zeka #fads,리 신,8 게임,75 %,미드,29
emerald,kiin #2025,오로라,5 게임,20 %,미드,27
emerald,싸꾸룸뚜꾸룸 #123,리 신,40 게임,60 %,정글,104
emerald,dks #KR1,아크샨,16 게임,63 %,미드,31
emerald,一人一 #2025,렐,13 게임,54 %,서폿,54
emerald,노력하는자 #노력하는자,사일러스,93 게임,57 %,미드,193
emerald,백공팔 #KR1,미스 포츈,15 게임,73 %,원딜,34
emerald,coldman #KR2,킨드레드,6 게임,67 %,정글,19
emerald,오왕굳 #KR1,아무무,23 게임,61 %,서폿,18
emerald,잡 직 #쭙쭙박사,룰루,11 게임,45 %,서폿,25
emerald,괴물조쥐 #KR1,녹턴,1 게임,100 %,정글,4
emerald,미 호 #야옹2,리 신,3 게임,100 %,정글,5
emerald,Uniq R Gosu #Kor,미스 포츈,18 게임,56 %,원딜,91
emerald,프로랑친구하고싶다 #평생술안주,렐,2 게임,100 %,서폿,5
emerald,Girls Never Die #KR2,누누와 윌럼프,92 게임,62 %,미드,64
emerald,yuatan #1208,조이,3 게임,67 %,미드,5
emerald,혼종나피리 #갓 독,나피리,5 게임,80 %,미드,4
emerald,정신간호 #NURSE,올라프,1 게임,100 %,탑,5
emerald,후시구로 채수민 #천여주박,리븐,5 게임,80 %,탑,5
emerald,명탐정 코남 #KR05,이즈리얼,4 게임,75 %,원딜,5
emerald,탱or유틸 #2253,카이사,4 게임,75 %,원딜,5
emerald,BeaSuzy #LOVER,조이,2 게임,50 %,미드,5
emerald,제 드 #Han,제드,3 게임,67 %,정글,3
emerald,망고시루 #0909,요네,5 게임,80 %,미드,5
emerald,아리달록 #KR1,이즈리얼,12 게임,50 %,원딜,32
emerald,현재야욕하지말자 #KR1,렉사이,5 게임,80 %,정글,5
emerald,해피롤 123 #해피롤,마오카이,3 게임,67 %,미드,4
emerald,岸田教団 #YUMU,애쉬,2 게임,100 %,원딜,5
emerald,진흙경단의 천재가 있었네 #KR2,루시안,3 게임,100 %,원딜,7
emerald,너쌓여있잖아 #2815,케인,2 게임,100 %,정글,4
emerald,슬치생 #KR1,르블랑,3 게임,100 %,미드,5
emerald,finalee #KR1,빅토르,5 게임,80 %,미드,5
emerald,공 룡 #연평1,리 신,6 게임,67 %,서폿,26
emerald,EvolutionEntropy #54700,라이즈,6 게임,33 %,탑,13
emerald,머진맨 #123,사일러스,2 게임,50 %,미드,5
emerald,231010 #KR1,사일러스,2 게임,100 %,미드,5
emerald,퀘오타니 #TANI,스몰더,5 게임,80 %,원딜,5
emerald,모찌는사람 #KR1,요네,3 게임,67 %,탑,5
emerald,Back Up #위험도움,쉔,2 게임,100 %,탑,4
emerald,신난 야옹이 뀨꿍 #KR1,카시오페아,9 게임,67 %,탑,7
emerald,누누와월남중 #KR1,워윅,5 게임,80 %,정글,5
emerald,정은효 #KR1,미스 포츈,9 게임,44 %,원딜,51
emerald,Hickey #CN1,트린다미어,17 게임,82 %,탑,16
emerald,Fromm #1228,제이스,2 게임,100 %,미드,3
emerald,혜지으응 #KR1,블라디미르,1 게임,0 %,미드,5
emerald,므므므므므므므므므므므므므므 #KR1,그레이브즈,2 게임,100 %,정글,5
emerald,땡기는중 #KR1,카르마,2 게임,100 %,서폿,4
emerald,송 강 #존잘러,카르마,1 게임,0 %,서폿,3
emerald,박치기 공룡 #소통안해요,다리우스,7 게임,71 %,탑,36
emerald,20230816 #1022,갱플랭크,3 게임,100 %,탑,4
emerald,PTA #haeng,카직스,5 게임,80 %,정글,5
emerald,마추면오천원드림 #고라파덕,멜,4 게임,50 %,서폿,11
emerald,우 원 강 #이쁜냥,유미,17 게임,71 %,서폿,17
emerald,업보의업보 #KR1,사이온,5 게임,80 %,탑,5
emerald,들뜨지마라 #5200,미스 포츈,4 게임,100 %,원딜,5
emerald,땅 두 닝 #KR1,쓰레쉬,2 게임,100 %,서폿,5
emerald,신 머 #KR1,비에고,12 게임,58 %,미드,19
emerald,XXXXXXXXXXXXXXXX #KXXXX,이렐리아,2 게임,100 %,탑,5
emerald,누구보다 큼 #KR1,빅토르,5 게임,80 %,미드,5
emerald,유틸하는사나이 #단단함,유미,37 게임,54 %,서폿,66
emerald,하 로 #야 미,이즈리얼,2 게임,100 %,원딜,4
emerald,별하루 #원 딜,케이틀린,1 게임,100 %,원딜,5
emerald,Lidox #KR1,빅토르,37 게임,59 %,미드,48
emerald,미카미 테렌 #1017,가렌,5 게임,80 %,탑,5
emerald,天上天下 唯我獨尊 #6725,애쉬,1 게임,100 %,원딜,3
emerald,수유리뚝빼기헌터 #KR1,쓰레쉬,3 게임,67 %,서폿,5
emerald,마세라티 MC20 #KR1,미스 포츈,36 게임,56 %,원딜,77
emerald,햇빛이성큼성큼걸어왔다 #0319,이즈리얼,2 게임,100 %,원딜,4
emerald,탑갱오면안함 #KR1,녹턴,1 게임,100 %,탑,3
emerald,은화 대의원회 #KR44,사일러스,2 게임,50 %,미드,5
emerald,프제짱 가로우 그리고 나 #야스오인생,야스오,8 게임,50 %,탑,12
emerald,좋은매너 #KR1,카사딘,40 게임,50 %,미드,52
emerald,현미니 #1031,세라핀,12 게임,58 %,서폿,26
emerald,순규박 #KR1,리븐,4 게임,100 %,탑,5
emerald,always sacrifice #KR1,제이스,1 게임,0 %,미드,3
emerald,엄청난2론 #KR1,암베사,2 게임,50 %,탑,5
emerald,현거니우스 #KR1,그라가스,9 게임,56 %,탑,40
emerald,있었습니다 #KR1,아리,4 게임,75 %,미드,5
emerald,즉   흥   곡 #KR1,럼블,1 게임,0 %,미드,4
emerald,인생은도박이야 #KR1,잭스,1 게임,0 %,탑,3
emerald,Found My Way #KR1,제이스,3 게임,100 %,탑,5
emerald,탑이기면이긴거 #KR1,케넨,5 게임,80 %,탑,5
emerald,T1 Keria #KOR7,렐,2 게임,100 %,서폿,5
emerald,유대승 #KR1,스카너,2 게임,50 %,정글,5
emerald,butcher #6449,리 신,4 게임,25 %,정글,12
emerald,선비 도토리 #KR1,빅토르,2 게임,100 %,미드,3
emerald,Palia #KR1,르블랑,4 게임,100 %,미드,20
emerald,망나니신 #KR1,워윅,3 게임,67 %,탑,5
emerald,스초생 #444,세라핀,2 게임,50 %,서폿,5
emerald,leave #KR 1,드레이븐,3 게임,100 %,원딜,3
emerald,꿀 밤 #꿀 밤,리 신,4 게임,50 %,원딜,24
emerald,EHCIA 알파카 #KR1,알리스타,1 게임,100 %,미드,3
emerald,FADE #ZED,파이크,4 게임,75 %,서폿,5
emerald,광명시 철산동 #KR1,자크,190 게임,54 %,정글,192
emerald,도산공원사거리 #KR1,리 신,4 게임,75 %,정글,5
emerald,Deft #코리아,직스,5 게임,80 %,원딜,6
emerald,뚜벅초 #7855,다리우스,11 게임,64 %,탑,15
emerald,김윈터 #말티즈,이즈리얼,3 게임,67 %,원딜,7
emerald,유돌2 #KR1,자이라,6 게임,50 %,정글,16
emerald,악질루키 #abc,갈리오,2 게임,100 %,미드,4
emerald,프로틴 #닭가슴살,카타리나,5 게임,80 %,미드,5
emerald,팀운어지럼증 #KR1,베이가,5 게임,80 %,서폿,5
emerald,레서판다의 위협 #1029,엘리스,2 게임,100 %,서폿,6
emerald,둉 쟤 #KR1,제이스,2 게임,100 %,탑,3
emerald,Cyeee #KR1,이즈리얼,1 게임,100 %,원딜,4
emerald,강영민 #KR1,빅토르,4 게임,50 %,미드,7
emerald,승호형님 #aaa,케이틀린,2 게임,50 %,원딜,4
emerald,돌쇠야 가즈하 #KR486,미스 포츈,16 게임,56 %,원딜,46
emerald,삼척판교대전창원 #KR1,쓰레쉬,5 게임,80 %,서폿,5
emerald,널믿는바보가될게 #KR2,탈리야,2 게임,100 %,미드,5
emerald,상어구이 #KR1,녹턴,53 게임,58 %,정글,63
emerald,흔한닝겐 #KR1,레넥톤,14 게임,64 %,탑,33
emerald,문서노 #KR1,징크스,2 게임,50 %,원딜,3
emerald,불명예 #KR1,럼블,5 게임,60 %,탑,13
emerald,miamiaOvO #KR1,리 신,2 게임,100 %,정글,4
emerald,최성민 #KR01,쓰레쉬,4 게임,75 %,서폿,5
emerald,바닐라셰이크 #KR1,멜,4 게임,75 %,탑,9
emerald,캐슬홀딩스경호대장마학영 #델타포스,리 신,2 게임,100 %,정글,4
emerald,네가없는미래 #1023,스웨인,9 게임,56 %,원딜,8
emerald,편 지 #0505,파이크,2 게임,100 %,서폿,5
emerald,감자먹기 #KR1,제이스,2 게임,100 %,탑,4
emerald,승패결정자 #1111,비에고,27 게임,59 %,정글,32
emerald,유영제약 #KR1,탐 켄치,24 게임,46 %,서폿,24
emerald,김영우2 #KR1,크산테,66 게임,53 %,탑,72
emerald,앞구르기앞점멸 #베인의삶,크산테,5 게임,60 %,원딜,13
emerald,나기 세이시로 #ひさしぶり,리 신,32 게임,53 %,정글,90
emerald,NT R OBOT #KR2,킨드레드,11 게임,55 %,정글,42
emerald,고광윤 #KR1,아칼리,9 게임,67 %,미드,15
emerald,천천히 가는 중 #KR1,요네,7 게임,100 %,탑,15
emerald,꿀어시냠냠 #내놔놔,카이사,28 게임,71 %,미드,40
emerald,고창포 #KR1,미스 포츈,5 게임,40 %,원딜,16
emerald,리텐포르테 #9510,신 짜오,7 게임,71 %,정글,25
emerald,뚱냥이는 배고파 #KR1,미스 포츈,12 게임,67 %,원딜,27
emerald,jeanzforfree #20722,탈론,45 게임,62 %,미드,43
emerald,zfp #KR1,애니비아,36 게임,56 %,미드,23
emerald,알아서게임할게요 #KR1,이블린,8 게임,63 %,정글,16
emerald,일리쉬 #124,그레이브즈,4 게임,75 %,정글,8
emerald,봄가을겨울 #0123,스몰더,3 게임,67 %,미드,8
emerald,Emotee #KR1,오로라,8 게임,50 %,원딜,12
emerald,금창의용사윤석열 #KR1,스웨인,74 게임,54 %,탑,117
emerald,Rêve #0299,미스 포츈,2 게임,50 %,원딜,6
emerald,양현우 #1120,리 신,69 게임,61 %,정글,108
emerald,カムイ #kamui,신 짜오,2 게임,50 %,정글,5
emerald,Raindrop #OTL,루시안,2 게임,50 %,원딜,8
emerald,지재메 #KR1,아리,2 게임,100 %,미드,7
emerald,저시나 #KR1,이즈리얼,4 게임,75 %,원딜,10
emerald,카이사 #KR18,니달리,5 게임,80 %,정글,18
emerald,창 맨 #123,판테온,5 게임,40 %,탑,8
emerald,坚强的意志 #英雄联盟,우르곳,12 게임,50 %,탑,12
emerald,백 결 #KR1,유미,10 게임,60 %,서폿,13
emerald,뉴민트호냥 #KR1,렐,3 게임,67 %,서폿,11
emerald,쇼년가장 원딜 #KR01,바루스,5 게임,80 %,원딜,15
emerald,고형엉덩이 #KR1,렐,20 게임,50 %,서폿,23
emerald,드리미 #KR1,쉔,11 게임,45 %,탑,10
emerald,너무따분한인생 #KR1,오공,2 게임,100 %,정글,8
emerald,즐겜유저 #KR10,쓰레쉬,4 게임,25 %,서폿,5
emerald,Assassin Ougong #KR1,오공,48 게임,54 %,정글,64
emerald,hejunfans #KR1,노틸러스,3 게임,0 %,서폿,13
emerald,Eusebiya #KR1,제드,7 게임,71 %,미드,21
emerald,IG EDP #KR1,제이스,5 게임,60 %,탑,10
